"product_id";"product_category_name";"product_weight_g";"product_length_cm";"product_height_cm";"product_width_cm"
"1e9e8ef04dbcff4541ed26657ea517e5";"perfumaria";225;16;10;14
"3aa071139cb16b67ca9e5dea641aaa2f";"artes";1000;30;18;20
"96bd76ec8810374ed1b65e291975717f";"esporte_lazer";154;18;9;15
